,social_connection_frequency,gathering_size_preference,valued_friendship_traits,conflict_resolution_style,family_support_level,social_battery_recharge,social_orientation_type,social_anxiety_level,emotional_expression_method,primary_anger_sources,target
233,Daily,Small gatherings,Honesty,Let time fix it,Never,Talking to someone,Ambivert,Nervous,Talk openly,Being interrupted,1.0
234,Never,Both,Honesty,Talk it out,Sometimes,Alone time,Ambivert,Neutral,Stay silent,Being interrupted,1.0
235,Daily,Both,Honesty,Avoid conflict,Yes,Social media,Introvert,Excited,Talk openly,Selfishness,1.0
236,Never,Never,Honesty,Avoid conflict,Never,Alone time,Introvert,Avoid it,Express emotion strongly,Injustice,0.0
237,Monthly,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Avoid it,Express emotion strongly,Injustice,0.0
238,Daily,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Not sure,Neutral,Talk openly,Selfishness,1.0
239,Daily,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Not sure,Neutral,Talk openly,Unnecessary criticism,1.0
240,Daily,Never,Support,Apologize first,Yes,Social media,Introvert,Excited,Other,Injustice,0.0
241,Daily,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Not sure,Nervous,Talk openly,Unnecessary criticism,1.0
242,Daily,Small gatherings,Support,Talk it out,Never,Talking to someone,Extrovert,Nervous,Express emotion strongly,Selfishness,0.0
243,Daily,Large events,Honesty,Talk it out,Yes,Talking to someone,Introvert,Nervous,Other,Injustice,0.0
244,Daily,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Not sure,Neutral,Talk openly,Unnecessary criticism,1.0
245,Daily,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Not sure,Neutral,Talk openly,Unnecessary criticism,1.0
246,Daily,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Not sure,Neutral,Talk openly,Unnecessary criticism,1.0
247,Daily,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Not sure,Neutral,Talk openly,Unnecessary criticism,1.0
248,Monthly,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Ambivert,Nervous,Express emotion strongly,Injustice,1.0
249,Weekly,Small gatherings,Support,Avoid conflict,Yes,Talking to someone,Introvert,Excited,Stay silent,Being interrupted,0.0
250,Monthly,Large events,Support,Apologize first,Sometimes,None of the above,Not sure,Neutral,Other,Injustice,0.0
251,Weekly,Large events,Loyalty,Talk it out,Sometimes,Talking to someone,Ambivert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
252,Monthly,Both,Honesty,Avoid conflict,Never,Talking to someone,Ambivert,Nervous,Express emotion strongly,Being interrupted,0.0
253,Never,Large events,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Neutral,Talk openly,Selfishness,0.0
254,Monthly,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
255,Daily,Large events,Support,Talk it out,Yes,Social media,Extrovert,Nervous,Express emotion strongly,Selfishness,0.0
256,Weekly,Large events,Loyalty,Avoid conflict,Sometimes,Alone time,Introvert,Neutral,Express emotion strongly,Being interrupted,0.0
257,Monthly,Large events,Loyalty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
258,Monthly,Both,Honesty,Avoid conflict,No,Social media,Introvert,Excited,Talk openly,Unnecessary criticism,1.0
259,Monthly,Large events,Support,Avoid conflict,Sometimes,Talking to someone,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
260,Weekly,Small gatherings,Loyalty,Apologize first,Sometimes,Alone time,Introvert,Nervous,Express emotion strongly,Injustice,0.0
261,Daily,Both,Support,Let time fix it,Never,Talking to someone,Ambivert,Avoid it,Other,Being interrupted,0.0
262,Monthly,Both,Loyalty,Apologize first,Sometimes,Social media,Ambivert,Excited,Stay silent,Unnecessary criticism,0.0
263,Weekly,Large events,Honesty,Talk it out,Sometimes,Talking to someone,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
264,Monthly,Small gatherings,Support,Avoid conflict,Yes,Social media,Ambivert,Excited,Talk openly,Unnecessary criticism,0.0
265,Monthly,Large events,Honesty,Avoid conflict,Yes,Talking to someone,Extrovert,Excited,Express emotion strongly,Unnecessary criticism,0.0
266,Monthly,Small gatherings,Honesty,Avoid conflict,Sometimes,Alone time,Extrovert,Neutral,Other,Injustice,0.0
267,Monthly,Both,Loyalty,Talk it out,Sometimes,None of the above,Extrovert,Neutral,Talk openly,Unnecessary criticism,0.0
268,Weekly,Large events,Honesty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Nervous,Other,Injustice,0.0
269,Monthly,Both,Loyalty,Avoid conflict,Yes,Alone time,Extrovert,Neutral,Stay silent,Unnecessary criticism,0.0
270,Monthly,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
271,Weekly,Small gatherings,Honesty,Avoid conflict,Sometimes,None of the above,Introvert,Neutral,Express emotion strongly,Unnecessary criticism,0.0
272,Monthly,Large events,Honesty,Talk it out,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
273,Monthly,Never,Honesty,Avoid conflict,No,Alone time,Ambivert,Neutral,Talk openly,Unnecessary criticism,0.0
274,Monthly,Small gatherings,Honesty,Talk it out,No,Talking to someone,Ambivert,Nervous,Express emotion strongly,Unnecessary criticism,1.0
275,Monthly,Large events,Support,Apologize first,Sometimes,Talking to someone,Extrovert,Nervous,Talk openly,Selfishness,0.0
276,Weekly,Small gatherings,Honesty,Avoid conflict,Sometimes,Social media,Extrovert,Excited,Stay silent,Unnecessary criticism,1.0
277,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Nervous,Talk openly,Selfishness,1.0
278,Weekly,Small gatherings,Loyalty,Avoid conflict,No,Alone time,Introvert,Excited,Stay silent,Selfishness,1.0
279,Daily,Large events,Loyalty,Talk it out,Yes,Social media,Not sure,Excited,Talk openly,Selfishness,1.0
280,Daily,Small gatherings,Honesty,Talk it out,No,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,1.0
281,Daily,Small gatherings,Support,Avoid conflict,No,Alone time,Extrovert,Nervous,Stay silent,Selfishness,0.0
282,Daily,Never,Honesty,Talk it out,Yes,Talking to someone,Introvert,Excited,Stay silent,Unnecessary criticism,1.0
283,Daily,Small gatherings,Loyalty,Avoid conflict,No,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,1.0
284,Daily,Small gatherings,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Talk openly,Selfishness,0.0
285,Daily,Large events,Loyalty,Avoid conflict,No,Alone time,Introvert,Nervous,Talk openly,Selfishness,1.0
286,Daily,Small gatherings,Honesty,Avoid conflict,No,Social media,Extrovert,Neutral,Express emotion strongly,Unnecessary criticism,0.0
287,Daily,Small gatherings,Honesty,Talk it out,No,Alone time,Introvert,Excited,Stay silent,Being interrupted,0.0
288,Daily,Small gatherings,Loyalty,Talk it out,Yes,Social media,Extrovert,Nervous,Talk openly,Being interrupted,1.0
289,Weekly,Small gatherings,Honesty,Talk it out,No,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
290,Daily,Small gatherings,Honesty,Avoid conflict,No,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
291,Daily,Small gatherings,Honesty,Apologize first,Never,Talking to someone,Introvert,Nervous,Talk openly,Unnecessary criticism,1.0
292,Daily,Small gatherings,Honesty,Avoid conflict,No,Social media,Ambivert,Avoid it,Talk openly,Selfishness,0.0
293,Daily,Large events,Loyalty,Talk it out,Yes,Social media,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
294,Daily,Small gatherings,Loyalty,Apologize first,Yes,Social media,Extrovert,Nervous,Talk openly,Unnecessary criticism,0.0
295,Daily,Small gatherings,Honesty,Talk it out,No,Social media,Ambivert,Avoid it,Talk openly,Unnecessary criticism,1.0
296,Daily,Small gatherings,Honesty,Talk it out,No,Alone time,Extrovert,Nervous,Talk openly,Selfishness,1.0
297,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Unnecessary criticism,1.0
298,Daily,Large events,Loyalty,Avoid conflict,No,Social media,Ambivert,Excited,Stay silent,Being interrupted,0.0
299,Daily,Small gatherings,Honesty,Avoid conflict,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
300,Daily,Small gatherings,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
301,Daily,Both,Loyalty,Talk it out,Yes,Alone time,Introvert,Nervous,Stay silent,Being interrupted,1.0
302,Daily,Small gatherings,Loyalty,Avoid conflict,No,Alone time,Extrovert,Excited,Stay silent,Selfishness,1.0
303,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Extrovert,Nervous,Talk openly,Unnecessary criticism,1.0
304,Daily,Small gatherings,Support,Talk it out,No,None of the above,Introvert,Neutral,Stay silent,Selfishness,0.0
305,Daily,Small gatherings,Loyalty,Talk it out,Sometimes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
306,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
307,Monthly,Small gatherings,Support,Talk it out,No,None of the above,Ambivert,Excited,Stay silent,Being interrupted,0.0
308,Weekly,Small gatherings,Honesty,Talk it out,Yes,Alone time,Ambivert,Nervous,Express emotion strongly,Selfishness,0.0
309,Daily,Large events,Honesty,Talk it out,Yes,Social media,Ambivert,Neutral,Express emotion strongly,Injustice,0.0
310,Daily,Never,Honesty,Talk it out,No,Social media,Ambivert,Neutral,Talk openly,Unnecessary criticism,0.0
311,Weekly,Both,Honesty,Talk it out,No,Social media,Introvert,Excited,Express emotion strongly,Being interrupted,0.0
312,Monthly,Large events,Honesty,Talk it out,No,Alone time,Not sure,Neutral,Express emotion strongly,Being interrupted,0.0
313,Daily,Large events,Honesty,Avoid conflict,Yes,Social media,Extrovert,Nervous,Talk openly,Unnecessary criticism,1.0
314,Daily,Both,Loyalty,Avoid conflict,No,Alone time,Ambivert,Excited,Talk openly,Unnecessary criticism,1.0
315,Weekly,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Not sure,Nervous,Other,Selfishness,0.0
316,Weekly,Both,Loyalty,Apologize first,No,Social media,Ambivert,Excited,Stay silent,Selfishness,1.0
317,Weekly,Both,Honesty,Avoid conflict,Yes,Talking to someone,Not sure,Avoid it,Express emotion strongly,Selfishness,1.0
318,Monthly,Both,Loyalty,Let time fix it,Yes,None of the above,Not sure,Avoid it,Other,Unnecessary criticism,0.0
319,Weekly,Both,Honesty,Let time fix it,Never,Social media,Not sure,Neutral,Other,Being interrupted,0.0
320,Monthly,Both,Support,Let time fix it,Sometimes,Social media,Extrovert,Neutral,Other,Injustice,0.0
321,Weekly,Both,Support,Apologize first,Never,Social media,Extrovert,Neutral,Talk openly,Being interrupted,0.0
322,Weekly,Large events,Honesty,Avoid conflict,No,Talking to someone,Ambivert,Nervous,Express emotion strongly,Injustice,0.0
323,Weekly,Never,Loyalty,Avoid conflict,Yes,Social media,Ambivert,Avoid it,Stay silent,Selfishness,1.0
324,Weekly,Both,Honesty,Talk it out,No,Alone time,Extrovert,Neutral,Stay silent,Being interrupted,1.0
325,Weekly,Small gatherings,Honesty,Talk it out,No,Talking to someone,Ambivert,Neutral,Talk openly,Unnecessary criticism,1.0
326,Weekly,Large events,Honesty,Avoid conflict,Sometimes,Alone time,Introvert,Excited,Stay silent,Selfishness,1.0
327,Monthly,Large events,Honesty,Let time fix it,No,Talking to someone,Not sure,Avoid it,Stay silent,Injustice,0.0
328,Weekly,Both,Support,Apologize first,Yes,Talking to someone,Ambivert,Avoid it,Talk openly,Injustice,1.0
329,Monthly,Large events,Loyalty,Apologize first,No,Alone time,Extrovert,Neutral,Stay silent,Unnecessary criticism,0.0
330,Weekly,Small gatherings,Honesty,Talk it out,Never,Talking to someone,Ambivert,Neutral,Other,Being interrupted,0.0
331,Monthly,Large events,Honesty,Talk it out,Sometimes,Talking to someone,Introvert,Avoid it,Talk openly,Unnecessary criticism,0.0
332,Weekly,Small gatherings,Loyalty,Apologize first,Sometimes,Social media,Extrovert,Excited,Express emotion strongly,Being interrupted,0.0
333,Never,Both,Honesty,Let time fix it,No,Social media,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
334,Weekly,Large events,Honesty,Talk it out,Yes,Social media,Ambivert,Avoid it,Talk openly,Being interrupted,1.0
335,Monthly,Large events,Loyalty,Talk it out,Yes,Alone time,Extrovert,Nervous,Other,Injustice,0.0
336,Weekly,Large events,Honesty,Avoid conflict,No,Alone time,Extrovert,Excited,Talk openly,Being interrupted,1.0
337,Monthly,Large events,Honesty,Talk it out,No,Social media,Extrovert,Nervous,Stay silent,Injustice,0.0
338,Never,Never,Honesty,Talk it out,Yes,Talking to someone,Ambivert,Excited,Talk openly,Being interrupted,1.0
339,Monthly,Both,Support,Talk it out,Yes,Social media,Ambivert,Excited,Talk openly,Unnecessary criticism,0.0
340,Weekly,Large events,Honesty,Avoid conflict,Yes,Alone time,Extrovert,Excited,Stay silent,Injustice,0.0
341,Monthly,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Express emotion strongly,Being interrupted,0.0
342,Weekly,Both,Honesty,Talk it out,Yes,Alone time,Ambivert,Neutral,Express emotion strongly,Injustice,1.0
343,Weekly,Both,Loyalty,Avoid conflict,No,None of the above,Not sure,Avoid it,Talk openly,Being interrupted,1.0
344,Weekly,Both,Loyalty,Talk it out,Yes,Talking to someone,Introvert,Avoid it,Other,Injustice,0.0
345,Monthly,Small gatherings,Honesty,Apologize first,No,Social media,Ambivert,Avoid it,Stay silent,Being interrupted,0.0
346,Monthly,Never,Support,Avoid conflict,No,Alone time,Extrovert,Avoid it,Express emotion strongly,Being interrupted,0.0
347,Monthly,Large events,Honesty,Apologize first,No,Alone time,Introvert,Nervous,Other,Unnecessary criticism,0.0
348,Never,Small gatherings,Honesty,Avoid conflict,No,Talking to someone,Not sure,Avoid it,Other,Injustice,0.0
349,Never,Small gatherings,Honesty,Talk it out,No,Alone time,Extrovert,Neutral,Other,Injustice,0.0
350,Weekly,Large events,Support,Apologize first,Sometimes,Social media,Extrovert,Neutral,Talk openly,Selfishness,1.0
351,Daily,Small gatherings,Honesty,Avoid conflict,No,Social media,Ambivert,Avoid it,Express emotion strongly,Being interrupted,0.0
352,Monthly,Both,Support,Talk it out,Yes,Alone time,Extrovert,Excited,Stay silent,Being interrupted,1.0
353,Monthly,Large events,Loyalty,Let time fix it,Sometimes,None of the above,Ambivert,Nervous,Stay silent,Unnecessary criticism,0.0
354,Monthly,Large events,Honesty,Avoid conflict,No,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
355,Weekly,Large events,Support,Talk it out,No,Alone time,Not sure,Excited,Stay silent,Injustice,0.0
356,Never,Both,Loyalty,Talk it out,No,Talking to someone,Ambivert,Nervous,Talk openly,Selfishness,1.0
357,Monthly,Large events,Honesty,Talk it out,Yes,Alone time,Extrovert,Nervous,Talk openly,Unnecessary criticism,0.0
358,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Ambivert,Neutral,Stay silent,Being interrupted,0.0
359,Weekly,Large events,Loyalty,Apologize first,Sometimes,Social media,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
360,Monthly,Both,Loyalty,Let time fix it,Never,Social media,Extrovert,Nervous,Express emotion strongly,Being interrupted,0.0
361,Monthly,Small gatherings,Honesty,Apologize first,Sometimes,Social media,Introvert,Excited,Express emotion strongly,Injustice,0.0
362,Weekly,Large events,Support,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Unnecessary criticism,0.0
363,Weekly,Small gatherings,Loyalty,Avoid conflict,No,Social media,Extrovert,Neutral,Talk openly,Unnecessary criticism,0.0
364,Monthly,Never,Support,Avoid conflict,Sometimes,Talking to someone,Not sure,Excited,Talk openly,Selfishness,0.0
365,Weekly,Small gatherings,Loyalty,Avoid conflict,Sometimes,Talking to someone,Introvert,Excited,Talk openly,Selfishness,1.0
366,Weekly,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Extrovert,Nervous,Stay silent,Being interrupted,1.0
367,Weekly,Both,Support,Avoid conflict,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
368,Daily,Large events,Support,Let time fix it,Sometimes,Social media,Extrovert,Neutral,Stay silent,Unnecessary criticism,0.0
369,Monthly,Never,Support,Talk it out,No,Social media,Ambivert,Excited,Express emotion strongly,Selfishness,1.0
370,Weekly,Both,Loyalty,Avoid conflict,Sometimes,Alone time,Not sure,Excited,Express emotion strongly,Selfishness,1.0
371,Monthly,Large events,Support,Let time fix it,No,Talking to someone,Introvert,Avoid it,Stay silent,Injustice,0.0
372,Never,Both,Loyalty,Let time fix it,Never,Alone time,Introvert,Excited,Other,Selfishness,0.0
373,Monthly,Never,Loyalty,Avoid conflict,No,Talking to someone,Not sure,Avoid it,Stay silent,Being interrupted,1.0
374,Never,Small gatherings,Support,Apologize first,Never,Alone time,Introvert,Excited,Other,Injustice,0.0
375,Daily,Small gatherings,Honesty,Avoid conflict,No,Talking to someone,Extrovert,Avoid it,Express emotion strongly,Being interrupted,0.0
376,Monthly,Small gatherings,Honesty,Avoid conflict,Yes,Talking to someone,Ambivert,Neutral,Talk openly,Selfishness,0.0
377,Never,Both,Loyalty,Avoid conflict,Yes,Social media,Not sure,Excited,Stay silent,Being interrupted,1.0
378,Weekly,Small gatherings,Honesty,Avoid conflict,Yes,Social media,Ambivert,Neutral,Talk openly,Selfishness,0.0
379,Daily,Large events,Loyalty,Avoid conflict,No,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
380,Daily,Large events,Support,Apologize first,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
381,Monthly,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Unnecessary criticism,0.0
382,Weekly,Large events,Support,Talk it out,Yes,Alone time,Extrovert,Excited,Talk openly,Unnecessary criticism,0.0
383,Never,Never,Support,Avoid conflict,No,Talking to someone,Ambivert,Excited,Express emotion strongly,Being interrupted,1.0
384,Never,Never,Support,Let time fix it,Sometimes,Social media,Extrovert,Excited,Stay silent,Unnecessary criticism,1.0
385,Weekly,Small gatherings,Honesty,Avoid conflict,No,Social media,Extrovert,Nervous,Talk openly,Selfishness,1.0
386,Daily,Small gatherings,Loyalty,Avoid conflict,Sometimes,Social media,Extrovert,Nervous,Talk openly,Being interrupted,1.0
387,Monthly,Large events,Loyalty,Talk it out,No,Social media,Not sure,Excited,Talk openly,Being interrupted,1.0
388,Weekly,Large events,Loyalty,Avoid conflict,Sometimes,Alone time,Extrovert,Excited,Talk openly,Selfishness,1.0
389,Weekly,Small gatherings,Honesty,Apologize first,Sometimes,Social media,Extrovert,Excited,Talk openly,Selfishness,1.0
390,Monthly,Both,Loyalty,Apologize first,Never,None of the above,Extrovert,Nervous,Other,Selfishness,0.0
391,Monthly,Large events,Support,Talk it out,No,Talking to someone,Not sure,Excited,Stay silent,Being interrupted,1.0
392,Monthly,Large events,Support,Apologize first,No,Social media,Extrovert,Neutral,Express emotion strongly,Selfishness,0.0
393,Weekly,Large events,Loyalty,Apologize first,Sometimes,None of the above,Ambivert,Nervous,Other,Selfishness,1.0
394,Daily,Both,Loyalty,Apologize first,Yes,Talking to someone,Ambivert,Nervous,Stay silent,Being interrupted,0.0
395,Monthly,Small gatherings,Loyalty,Talk it out,No,Social media,Ambivert,Neutral,Express emotion strongly,Injustice,0.0
396,Monthly,Both,Support,Avoid conflict,Sometimes,Social media,Extrovert,Nervous,Other,Selfishness,0.0
397,Monthly,Both,Loyalty,Avoid conflict,Sometimes,Talking to someone,Extrovert,Nervous,Other,Being interrupted,0.0
398,Weekly,Small gatherings,Honesty,Avoid conflict,Yes,Alone time,Ambivert,Avoid it,Stay silent,Unnecessary criticism,0.0
399,Weekly,Both,Honesty,Avoid conflict,Yes,Social media,Extrovert,Nervous,Express emotion strongly,Injustice,1.0
400,Daily,Small gatherings,Support,Apologize first,Sometimes,None of the above,Ambivert,Avoid it,Other,Injustice,0.0
401,Daily,Both,Loyalty,Apologize first,Sometimes,Talking to someone,Not sure,Avoid it,Express emotion strongly,Injustice,0.0
402,Never,Both,Support,Avoid conflict,Sometimes,Social media,Extrovert,Neutral,Express emotion strongly,Selfishness,0.0
403,Monthly,Both,Honesty,Avoid conflict,Sometimes,Social media,Not sure,Nervous,Other,Selfishness,1.0
404,Weekly,Large events,Honesty,Avoid conflict,Sometimes,Talking to someone,Not sure,Avoid it,Express emotion strongly,Unnecessary criticism,0.0
405,Monthly,Large events,Loyalty,Apologize first,Never,None of the above,Ambivert,Neutral,Other,Being interrupted,0.0
406,Weekly,Small gatherings,Loyalty,Let time fix it,Never,None of the above,Not sure,Neutral,Talk openly,Unnecessary criticism,0.0
407,Daily,Large events,Loyalty,Avoid conflict,Sometimes,Talking to someone,Extrovert,Avoid it,Express emotion strongly,Injustice,0.0
408,Weekly,Large events,Support,Let time fix it,Sometimes,Talking to someone,Not sure,Avoid it,Express emotion strongly,Injustice,0.0
409,Never,Never,Support,Let time fix it,Sometimes,None of the above,Not sure,Avoid it,Express emotion strongly,Injustice,0.0
410,Daily,Small gatherings,Loyalty,Talk it out,Yes,Alone time,Ambivert,Neutral,"Talk openly, Express emotion strongly",Unnecessary criticism,0.0
411,Daily,Both,Honesty,Apologize first,Sometimes,Social media,Not sure,Neutral,Talk openly,Being interrupted,0.0
412,Daily,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Extrovert,Neutral,Express emotion strongly,Unnecessary criticism,0.0
413,Weekly,Small gatherings,Loyalty,Apologize first,Yes,Social media,Not sure,Neutral,Talk openly,Injustice,0.0
414,Weekly,Small gatherings,Honesty,Avoid conflict,Never,Alone time,Not sure,Excited,Express emotion strongly,Injustice,0.0
415,Monthly,Never,Honesty,Talk it out,No,None of the above,Introvert,Avoid it,Stay silent,Selfishness,1.0
416,Weekly,Large events,Honesty,Let time fix it,Never,None of the above,Introvert,Excited,Other,Selfishness,1.0
417,Weekly,Both,Honesty,Let time fix it,Yes,Alone time,Ambivert,Excited,Talk openly,Unnecessary criticism,0.0
418,Monthly,Small gatherings,Loyalty,Avoid conflict,No,Talking to someone,Not sure,Nervous,Stay silent,Being interrupted,1.0
419,Weekly,Large events,Honesty,Avoid conflict,Sometimes,Alone time,Ambivert,Neutral,Talk openly,Selfishness,0.0
420,Monthly,Large events,Honesty,Avoid conflict,No,Social media,Ambivert,Neutral,Express emotion strongly,Selfishness,0.0
421,Weekly,Small gatherings,Support,Apologize first,Sometimes,Alone time,Ambivert,Avoid it,Other,Injustice,1.0
422,Monthly,Never,Support,Let time fix it,Never,Alone time,Not sure,Excited,Talk openly,Injustice,1.0
423,Never,Never,Support,Talk it out,Sometimes,Alone time,Ambivert,Excited,Talk openly,Selfishness,0.0
424,Never,Never,Support,Talk it out,Yes,Alone time,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,1.0
426,Monthly,Small gatherings,Loyalty,Avoid conflict,Sometimes,None of the above,Not sure,Neutral,Other,Selfishness,0.0
427,Daily,Small gatherings,Honesty,Talk it out,Yes,Social media,Extrovert,Nervous,Stay silent,Selfishness,0.0
428,Monthly,Small gatherings,Support,Let time fix it,Never,None of the above,Extrovert,Avoid it,Stay silent,Being interrupted,0.0
429,Monthly,Large events,Honesty,Talk it out,Never,Alone time,Extrovert,Excited,Other,Injustice,1.0
430,Weekly,Large events,Honesty,Avoid conflict,Yes,Alone time,Extrovert,Neutral,Talk openly,Unnecessary criticism,0.0
431,Monthly,Small gatherings,Support,Avoid conflict,Sometimes,Talking to someone,Not sure,Neutral,Talk openly,Being interrupted,0.0
432,Monthly,Large events,Loyalty,Avoid conflict,Yes,Talking to someone,Not sure,Neutral,Talk openly,Selfishness,0.0
433,Never,Both,Support,Talk it out,Yes,Alone time,Introvert,Avoid it,Talk openly,Selfishness,1.0
434,Never,Never,Loyalty,Apologize first,Sometimes,None of the above,Extrovert,Avoid it,Express emotion strongly,Being interrupted,1.0
435,Never,Never,Honesty,Talk it out,Sometimes,Alone time,Extrovert,Nervous,Talk openly,Injustice,0.0
436,Weekly,Small gatherings,Honesty,Talk it out,Sometimes,Talking to someone,Ambivert,Excited,Other,Unnecessary criticism,0.0
437,Weekly,Large events,Support,Apologize first,Yes,Alone time,Not sure,Avoid it,Other,Being interrupted,1.0
438,Monthly,Both,Loyalty,Apologize first,Never,Social media,Ambivert,Excited,Express emotion strongly,Being interrupted,0.0
439,Monthly,Both,Honesty,Apologize first,No,Talking to someone,Not sure,Excited,Express emotion strongly,Selfishness,0.0
440,Never,Both,Honesty,Avoid conflict,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
441,Never,Both,Support,Avoid conflict,Never,Talking to someone,Extrovert,Nervous,Other,Unnecessary criticism,0.0
442,Monthly,Large events,Loyalty,Avoid conflict,Sometimes,Talking to someone,Not sure,Excited,Talk openly,Selfishness,0.0
443,Weekly,Both,Loyalty,Avoid conflict,No,Social media,Ambivert,Neutral,Express emotion strongly,Unnecessary criticism,0.0
444,Monthly,Never,Loyalty,Apologize first,Never,Talking to someone,Not sure,Nervous,Other,Selfishness,0.0
445,Weekly,Both,Loyalty,Apologize first,No,Talking to someone,Not sure,Excited,Talk openly,Selfishness,0.0
446,Weekly,Small gatherings,Honesty,Avoid conflict,Yes,Alone time,Extrovert,Excited,Stay silent,Selfishness,1.0
447,Monthly,Small gatherings,Honesty,Avoid conflict,No,Alone time,Introvert,Excited,Talk openly,Selfishness,0.0
448,Daily,Both,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Stay silent,Selfishness,1.0
449,Monthly,Both,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Express emotion strongly,Being interrupted,0.0
450,Weekly,Small gatherings,Honesty,Avoid conflict,Never,None of the above,Introvert,Excited,Stay silent,Selfishness,1.0
451,Monthly,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
452,Never,Large events,Loyalty,Avoid conflict,Yes,Alone time,Extrovert,Excited,Talk openly,Selfishness,0.0
453,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Extrovert,Nervous,Express emotion strongly,Being interrupted,0.0
454,Never,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Excited,Talk openly,Selfishness,1.0
455,Weekly,Small gatherings,Loyalty,Avoid conflict,Sometimes,None of the above,Introvert,Excited,Talk openly,Selfishness,1.0
456,Weekly,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Nervous,Stay silent,Unnecessary criticism,0.0
457,Monthly,Both,Support,Avoid conflict,Yes,None of the above,Ambivert,Avoid it,Talk openly,Selfishness,0.0
458,Weekly,Never,Honesty,Talk it out,Yes,Social media,Ambivert,Nervous,Stay silent,Being interrupted,1.0
459,Weekly,Small gatherings,Honesty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Neutral,Other,Unnecessary criticism,0.0
460,Daily,Large events,Honesty,Talk it out,Yes,Social media,Ambivert,Avoid it,Other,Unnecessary criticism,0.0
461,Monthly,Large events,Honesty,Talk it out,Sometimes,Social media,Ambivert,Excited,Other,Selfishness,0.0
462,Monthly,Never,Support,Apologize first,No,Social media,Not sure,Nervous,Talk openly,Injustice,1.0
463,Monthly,Never,Loyalty,Avoid conflict,Yes,Talking to someone,Introvert,Nervous,Stay silent,Being interrupted,0.0
464,Daily,Small gatherings,Honesty,Talk it out,No,Alone time,Extrovert,Excited,Talk openly,Being interrupted,1.0
